CB1	CB2	Jaccard_score
127693_64303_142639	851_37643_142640	0.444444
64303_142639_93109	851_37643_142640	0.428571
37643_201370_216735	851_37643_201370	1.000000
37643_851_150396	851_150396_93109	0.294118
150396_851_237220	851_150396_93109	0.411765
47347_107846_216465	851_216465_107846	0.312500
24859_851_216465	851_216465_107846	0.304348
24859_851_237220	851_237220_107846	0.375000
80775_107278_201567	865_149114_84087	0.272727
107278_201567_243844	865_149114_84087	0.272727
865_149114_84087	92788_211164_211656	0.272727
101531_156421_156420	865_149114_84087	0.400000
1140_34753_193517	5067_35196_176171	1.000000
1140_34753_193517	35196_5067_104401	1.000000
1202_22959_153334	22959_1202_75206	0.777778
1202_22959_153334	3949_122396_227591	0.272727
112031_90862_236486	1202_22959_153334	0.583333
1202_22959_153334	22959_153334_237948	0.727273
1202_22959_153334	74391_227591_122396	0.272727
1202_22959_153334	74391_237948_153334	0.600000
1202_22959_153334	227591_74391_237948	0.454545
1202_22959_153334	75206_84158_112031	0.250000
1202_22959_153334	1202_75206_84158	0.272727
1202_22959_153334	84158_112031_90862	0.272727
1202_75206_84158	22959_1202_75206	0.272727
112031_90862_236486	1202_75206_84158	0.416667
1202_75206_84158	74391_237948_153334	0.272727
1202_75206_84158	227591_74391_237948	0.272727
1202_75206_84158	75206_84158_112031	0.857143
1202_75206_84158	84158_112031_90862	0.714286
2615_24606_104612	37370_193378_104612	0.300000
2615_24606_104612	84984_66826_133619	0.300000
2615_24606_104612	66826_133619_134835	0.250000
2615_24606_104612	66826_84984_101135	0.375000
24606_2615_101135	2615_24606_104612	0.833333
101843_229451_185716	2615_75065_84127	0.375000
2615_75065_84127	57869_219105_196832	0.250000
2615_75065_84127	57869_237963_150780	0.300000
2615_75065_84127	53869_9999_84127	0.333333
2654_244445_144306	2654_84202_144349	0.347826
167933_167933_193501	2654_84202_144349	0.344828
2654_84202_144349	84202_2654_244445	0.666667
2654_84202_144349	53364_167933_167933	0.250000
2654_84202_144349	84202_144349_92204	0.324324
2654_84202_144349	53365_193501_167933	0.300000
13929_144306_244445	2654_244445_144306	0.368421
167933_167933_167933	2654_244445_144306	0.352941
2654_244445_144306	42156_193134_201754	0.285714
167933_167933_193501	2654_244445_144306	0.444444
2654_244445_144306	84202_2654_244445	0.500000
2654_244445_144306	53364_167933_167933	0.375000
167933_53364_228768	2654_244445_144306	0.277778
193134_201754_228768	2654_244445_144306	0.307692
2654_244445_144306	53365_193501_167933	0.368421
2654_244445_144306	53364_228768_201754	0.285714
2654_244445_144306	53365_13929_144306	0.315789
2659_84459_144084	38656_53307_201980	0.250000
2659_84459_144084	34081_38656_53307	0.250000
201980_244164_223886	2659_84459_144084	0.400000
107276_219801_202007	2659_84459_144084	0.250000
219801_107276_219833	2659_84459_144084	0.250000
134610_60095_195003	2759_134609_144032	0.571429
2759_134609_144032	75604_193514_184113	0.250000
2759_134609_144032	60095_195003_173754	0.833333
123942_56031_123943	2759_134609_144032	0.250000
2759_134609_144032	56031_123943_144324	0.250000
2759_134609_144032	60095_134610_144032	0.666667
193514_184113_211591	2759_134609_144032	0.333333
134494_215987_175916	2759_134609_144032	0.375000
107227_75604_193514	2759_134609_144032	0.428571
2759_134609_144032	75232_134494_215987	0.375000
2821_240332_151710	64046_191972_102725	0.285714
2821_240332_151710	64046_143179_202706	0.272727
143179_64046_191972	2821_240332_151710	0.272727
2821_240332_151710	92429_102725_191972	0.296296
202705_2821_240332	2821_240332_151710	0.320000
202706_151710_240332	2821_240332_151710	0.400000
2821_240332_151710	76873_151710_240332	0.250000
2888_51379_185478	50110_50110_50110	0.428571
2888_51379_185478	68063_68821_84343	0.428571
2888_51379_185478	50110_50110_80780	0.428571
2888_51379_185478	51379_2888_219181	0.833333
101447_238068_143149	2953_143149_238068	1.000000
101448_101447_238068	2953_143149_238068	0.833333
151736_207448_173772	2953_143149_238068	0.375000
2953_143149_238068	73098_151737_143177	0.500000
22077_75743_101448	2953_143149_238068	0.714286
143149_2953_159888	2953_143149_238068	0.857143
2953_143149_238068	2953_159888_143177	0.750000
2953_143149_238068	37028_22077_75743	0.555556
151737_143177_159888	2953_143149_238068	0.625000
2953_143149_238068	75743_101448_101447	0.833333
101447_238068_143149	2953_159888_143177	0.750000
101448_101447_238068	2953_159888_143177	0.625000
151736_207448_173772	2953_159888_143177	0.444444
2953_159888_143177	73098_151737_143177	0.555556
22077_75743_101448	2953_159888_143177	0.555556
143149_2953_159888	2953_159888_143177	0.875000
2953_159888_143177	37028_22077_75743	0.600000
151737_143177_159888	2953_159888_143177	0.875000
2953_159888_143177	75743_101448_101447	0.625000
20273_190390_32601	3337_167968_84220	0.285714
167968_84220_236162	3337_167968_84220	0.714286
32597_200935_55574	3337_167968_84220	0.400000
200935_32597_236162	3337_167968_84220	0.375000
24107_3344_166884	3344_24107_144508	0.375000
3347_212511_3402	3347_60272_56138	0.555556
3347_60272_56138	60272_3347_212511	0.714286
210738_3402_212511	3347_60272_56138	0.307692
3347_212511_3402	60272_3347_212511	0.750000
210738_3402_212511	3347_212511_3402	0.357143
28503_32359_75157	3402_201098_28503	0.285714
32359_28503_201098	3402_201098_28503	0.444444
28503_32480_201098	3402_201098_32480	1.000000
199344_75216_210806	3402_201098_32480	0.250000
3402_201098_212647	53951_28501_187028	0.253968
28501_187028_211164	3402_201098_212647	0.315789
201098_212647_201567	3402_201098_212647	0.540000
201098_3402_212511	3402_201098_212647	0.577465
3402_201098_212647	3402_212511_188849	0.426471
173810_188849_212511	3402_201098_212647	0.323077
3402_212511_75530	75530_173810_243847	0.615385
173810_75530_212511	3402_212511_75530	0.846154
28501_187028_211164	3402_212511_188849	0.262136
201098_212647_201567	3402_212511_188849	0.281250
188849_173810_243847	3402_212511_188849	0.333333
201098_3402_212511	3402_212511_188849	0.671429
3402_212511_188849	60272_56138_122194	0.250000
173810_188849_212511	3402_212511_188849	0.716981
3402_212511_188849	60272_56138_212509	0.274194
3421_168199_3425	60237_3425_168199	0.272727
168199_3421_243592	3421_168199_3425	0.333333
3421_168199_3425	3421_243592_219833	0.333333
3421_243592_219833	3425_60237_211774	0.375000
168199_3421_243592	3421_243592_219833	1.000000
3425_60237_211774	60237_3425_168199	0.300000
168199_3421_243592	3425_60237_211774	0.375000
159763_3443_190390	3443_159763_172588	0.714286
161206_396_172588	3443_159763_172588	0.500000
216279_20291_234688	3585_216282_50878	0.833333
32172_53582_53582	3585_216282_50878	0.363636
3585_216282_50878	53582_53582_68915	0.416667
24610_202235_240592	3734_73025_24610	0.285714
3734_73025_24610	73025_24610_202235	0.384615
3735_240592_202235	68126_55179_243522	0.272727
3735_240592_202235	92567_3735_240592	0.666667
149727_32597_244811	3735_240592_202235	0.428571
3799_74759_183869	3799_84933_56505	0.764706
3799_74759_183869	56505_100076_149131	0.588235
3799_74759_183869	74759_3799_84933	0.823529
3799_74759_183869	47440_229073_244603	0.266667
3799_74759_183869	84933_56505_100076	0.705882
3799_74759_183869	3800_149131_100076	0.312500
32817_104489_112211	3799_74759_183869	0.250000
3799_84933_56505	50600_47440_229073	0.285714
3799_84933_56505	56505_100076_149131	0.812500
3799_84933_56505	74759_3799_84933	0.941176
3799_84933_56505	84933_56505_100076	0.937500
3799_84933_56505	3800_149131_100076	0.352941
3799_84933_56505	47440_50600_112211	0.285714
3799_84933_56505	50600_112211_104489	0.260870
3800_149131_100076	50600_47440_229073	0.384615
3800_149131_100076	56505_100076_149131	0.428571
3800_149131_100076	74759_3799_84933	0.333333
3800_149131_100076	84933_56505_100076	0.375000
3800_149131_100076	47440_50600_112211	0.384615
3800_149131_100076	50600_112211_104489	0.333333
32817_104489_112211	3800_149131_100076	0.300000
3841_166924_240627	74152_211532_84805	0.500000
144026_74152_211532	3841_166924_240627	0.400000
3841_166924_240627	84800_211526_211508	0.250000
115023_193637_193636	3865_115023_193637	1.000000
3865_115023_193637	76652_193636_193637	1.000000
22959_1202_75206	3949_122396_227591	0.272727
22959_153334_237948	3949_122396_227591	0.416667
3949_122396_227591	74391_227591_122396	1.000000
3949_122396_227591	74391_237948_153334	0.555556
227591_74391_237948	3949_122396_227591	0.750000
