CB1	CB2	Jaccard_score
24310_143442_37791	64353_56869_151499	0.400000
212690_64097_229009	24310_211469_64098	0.333333
24310_211469_64098	56869_64098_211469	0.500000
212691_195299_229008	24310_211469_64098	0.285714
24310_211469_64098	53728_37656_194968	0.272727
24310_211469_64098	37656_194968_212695	0.272727
112743_134181_151500	24310_211469_64098	0.454545
134181_151500_229009	24310_211469_64098	0.363636
24310_211469_64098	64097_229009_151500	0.363636
24310_211469_64098	64097_212690_229008	0.500000
195299_229008_212690	24310_211469_64098	0.444444
151501_68384_212691	24310_211469_64098	0.300000
144617_17365_202778	24406_59531_115091	0.272727
134804_185588_202778	24406_59531_115091	0.375000
24406_143252_50246	24406_59531_115091	0.833333
24406_59531_115091	59531_24406_143252	0.833333
134804_185588_202778	24406_143252_50246	0.428571
24406_143252_50246	59531_24406_143252	1.000000
24469_93229_75782	75556_176434_122517	0.363636
24469_93229_75782	24473_176435_75557	0.363636
122517_75557_176435	24469_93229_75782	0.307692
24469_93229_75782	75557_122517_176434	0.333333
24473_176435_75557	75556_176434_122517	0.800000
122517_75557_176435	24473_176435_75557	0.818182
24473_176435_75557	75557_122517_176434	0.727273
24476_68014_187235	68014_187235_123878	0.631579
151335_123878_187235	24476_68014_187235	0.523810
24476_68014_187235	24478_216346_56652	0.333333
24476_68014_187235	56653_24479_159541	0.312500
159541_56652_216346	24476_68014_187235	0.312500
24476_68014_187235	24479_159541_56652	0.312500
24478_216346_56652	56653_24479_159541	0.571429
159541_56652_216346	24478_216346_56652	0.571429
24478_216346_56652	24479_159541_56652	0.571429
24479_159541_56652	56653_24479_159541	1.000000
159541_56652_216346	24479_159541_56652	1.000000
143883_80949_238510	24492_24491_238510	0.375000
143883_80949_238510	24492_32791_238510	0.375000
216882_24518_244535	24518_216882_60903	0.272727
107094_212184_210825	24598_210826_210825	0.625000
212186_102991_223784	24598_210826_210825	0.250000
24598_210826_210825	60346_107096_210824	0.333333
24598_210826_210825	74308_223783_212186	0.272727
107091_74308_223783	24598_210826_210825	0.272727
102991_223784_102992	24598_210826_210825	0.444444
210826_210825_212184	24598_210826_210825	0.833333
24606_2615_101135	37370_193378_104612	0.333333
24606_2615_101135	84984_66826_133619	0.333333
24606_2615_101135	66826_133619_134835	0.272727
24606_2615_101135	66826_84984_101135	0.428571
24610_708_228514	32594_193215_153014	0.250000
24610_708_228514	98850_196832_207323	0.500000
193214_32594_193215	24610_708_228514	0.250000
216487_133948_219487	24610_708_228514	0.454545
196832_98850_234735	24610_708_228514	0.500000
113647_219488_207323	24610_708_228514	0.454545
133948_219487_212522	24610_708_228514	0.454545
24610_708_228514	51913_236287_219738	0.600000
113647_216487_133948	24610_708_228514	0.454545
153017_51913_236287	24610_708_228514	0.600000
196832_207323_219488	24610_708_228514	0.454545
216487_113647_219488	24610_708_228514	0.454545
201024_212522_219487	24610_708_228514	0.285714
24610_708_228514	51913_153017_234735	0.545455
24610_708_228514	98850_234735_153017	0.545455
156414_32479_219489	24610_708_228514	0.333333
193215_153014_202297	24610_708_228514	0.272727
153014_202297_201425	24610_708_228514	0.272727
24610_123746_75288	75384_75288_123746	0.266667
24610_123746_75288	42156_228603_243824	0.250000
24610_202235_68316	50405_24669_161208	0.285714
24610_202235_68316	72260_114_112319	0.260870
24610_202235_68316	72260_24610_202235	0.416667
24610_202235_202026	28592_188800_173845	0.357143
158773_28583_175568	24610_202235_202026	0.263158
158773_175567_173845	24610_202235_202026	0.363636
175569_181993_202237	24610_202235_202026	0.250000
24610_202235_202026	24610_238120_60817	0.666667
24610_202235_202026	28583_158773_175567	0.333333
101762_59018_111940	24610_202235_202026	0.250000
24610_202235_202026	79691_28592_188800	0.625000
24610_202235_202026	28592_79691_38259	0.625000
202235_24610_238120	24610_202235_202026	0.833333
175567_173845_188800	24610_202235_202026	0.500000
24610_202235_240592	73025_24610_202235	0.833333
24610_238120_60817	28592_188800_173845	0.266667
158773_28583_175568	24610_238120_60817	0.263158
158773_175567_173845	24610_238120_60817	0.500000
175569_181993_202237	24610_238120_60817	0.250000
104462_28593_188799	24610_238120_60817	0.250000
24610_238120_60817	28583_175568_84261	0.272727
24610_238120_60817	84261_59018_101762	0.333333
24610_238120_60817	59018_84261_175568	0.333333
24610_238120_60817	28583_158773_175567	0.454545
24610_238120_60817	79691_28592_188800	0.444444
24610_238120_60817	28592_79691_38259	0.444444
202235_24610_238120	24610_238120_60817	0.571429
175567_173845_188800	24610_238120_60817	0.500000
24667_13644_51562	50405_24669_161208	0.300000
24669_50405_92438	92439_100411_92440	0.300000
24710_153303_211267	24710_159289_243554	0.625000
153303_24710_159289	24710_153303_211267	0.666667
153303_211267_236307	24710_153303_211267	0.625000
153303_24710_159289	24710_159289_243554	0.750000
153303_211267_236307	24710_159289_243554	0.333333
24747_47354_93737	89786_144165_193010	0.375000
24747_47354_93737	28987_89786_144165	0.428571
101135_24768_144203	24768_101135_201011	0.700000
24768_101135_201011	24768_144203_234857	0.538462
24768_101135_201011	50246_238879_92841	0.300000
24768_101135_201011	51986_104631_212533	0.714286
104631_212533_175625	24768_101135_201011	0.625000
101135_24768_144203	24768_144203_234857	0.642857
24768_144203_234857	51986_104631_212533	0.384615
104631_212533_175625	24768_144203_234857	0.461538
101566_24824_122192	24824_101566_28498	0.500000
122190_156320_223738	24824_101566_28498	0.263158
24859_851_237220	74243_193802_93109	0.250000
112326_74243_193802	24859_851_237220	0.250000
24859_851_237220	24859_93109_193802	0.250000
24859_93109_193802	74243_112326_127693	0.833333
24859_93109_193802	74243_193802_93109	1.000000
112326_74243_193802	24859_93109_193802	1.000000
24910_151637_80503	80503_228806_142484	0.571429
151637_80503_228806	24910_151637_80503	1.000000
25082_47015_100578	47015_25082_175652	1.000000
25255_25260_156360	60443_195078_240620	0.250000
25255_159763_172588	25255_25260_156360	1.000000
25255_25260_156360	25260_25255_159763	1.000000
25255_25260_156360	25260_156360_193587	1.000000
25255_159763_172588	60443_195078_240620	0.250000
25255_159763_172588	25260_25255_159763	1.000000
25255_159763_172588	25260_156360_193587	1.000000
25260_25255_159763	60443_195078_240620	0.250000
25260_156360_193587	25260_25255_159763	1.000000
25260_156360_193587	60443_195078_240620	0.250000
25589_37074_92514	51514_223182_165962	0.411765
25589_244559_134637	25589_37074_92514	0.642857
25589_37074_92514	51514_212335_55613	0.500000
134637_55613_212335	25589_37074_92514	0.500000
25589_37074_92514	55613_134637_244559	0.500000
25589_37074_92514	37074_25589_244559	0.818182
107136_134637_149159	25589_149159_134637	0.275862
176531_51514_212335	25589_149159_134637	0.300000
25589_244559_134637	51514_223182_165962	0.318182
25589_244559_134637	51514_212335_55613	0.642857
134637_55613_212335	25589_244559_134637	0.642857
25589_244559_134637	55613_134637_244559	0.642857
25589_244559_134637	37074_25589_244559	0.666667
28498_32482_122190	28501_187028_211164	0.250000
28498_32482_122190	75216_210806_80185	0.261538
28498_32482_122190	32482_28498_101566	0.676056
28498_32482_122190	32482_122190_156320	0.392857
28498_101566_53950	32482_28498_101566	0.285714
101566_53950_122192	28498_101566_53950	0.500000
28498_101566_66984	84179_156320_122190	0.625000
28501_53951_75157	75157_212647_201098	0.250000
202068_193852_244740	28501_53951_201567	0.312500
28501_53951_201567	53951_28501_187028	0.515152
201098_212647_201567	28501_53951_201567	0.333333
144323_202068_193852	28501_53951_201567	0.300000
28501_53951_201567	53951_201567_212647	0.736842
144323_238727_211164	28501_53951_201567	0.260870
28501_55098_75157	55098_28501_187028	0.355556
28501_55098_75157	28503_32359_75157	0.304348
28501_55098_75157	32359_75157_55098	0.523810
201098_212647_201567	28501_55098_201567	0.342857
28501_55098_201567	55098_28501_187028	0.325581
28501_55098_201567	55098_201567_212647	0.812500
202068_193852_244740	28501_187028_211164	0.268293
28501_187028_211164	53951_28501_187028	0.417722
187028_211164_238727	28501_187028_211164	0.476190
202068_238727_211164	28501_187028_211164	0.265060
201098_212647_201567	28501_187028_211164	0.294118
201098_3402_212511	28501_187028_211164	0.367925
28501_187028_211164	32482_28498_101566	0.267857
134399_211164_187028	28501_187028_211164	0.439024
28501_187028_211164	55098_28501_187028	0.518987
202068_134399_211164	28501_187028_211164	0.294118
28503_32359_75157	32359_75157_55098	0.571429
28503_32359_75157	32359_28503_201098	0.500000
28503_32359_75157	51415_24168_84179	0.250000
28503_32359_75157	32482_122190_51415	0.250000
199344_75216_210806	28503_32480_201098	0.250000
211512_210728_219885	28508_211513_211512	0.733333
210728_211512_211513	28508_211513_211512	0.928571
185050_219885_210728	28508_211513_211512	0.571429
210724_185050_219885	28508_211513_211512	0.571429
211513_28508_219886	28508_211513_211512	0.857143
28583_158773_175567	28592_188800_173845	0.388889
158773_28583_175568	28583_158773_175567	0.578947
28583_158773_175567	59018_101762_175569	0.421053
101762_175569_181993	28583_158773_175567	0.400000
158773_175567_173845	28583_158773_175567	0.909091
175569_181993_202237	28583_158773_175567	0.615385
28583_158773_175567	28583_175568_84261	0.666667
28583_158773_175567	72724_202237_181993	0.571429
28583_158773_175567	84261_59018_101762	0.636364
28583_158773_175567	59018_84261_175568	0.636364
131813_72724_202237	28583_158773_175567	0.416667
28583_158773_175567	79691_28592_188800	0.461538
28583_158773_175567	28592_79691_38259	0.357143
202235_24610_238120	28583_158773_175567	0.416667
175567_173845_188800	28583_158773_175567	0.636364
28583_158773_175567	72724_131813_84260	0.307692
28583_175568_84261	28592_188800_173845	0.277778
158773_28583_175568	28583_175568_84261	0.473684
28583_175568_84261	59018_101762_175569	0.388889
101762_175569_181993	28583_175568_84261	0.368421
158773_175567_173845	28583_175568_84261	0.727273
175569_181993_202237	28583_175568_84261	0.583333
28583_175568_84261	72724_202237_181993	0.538462
28583_175568_84261	84261_59018_101762	0.777778
28583_175568_84261	59018_84261_175568	0.777778
131813_72724_202237	28583_175568_84261	0.363636
28583_175568_84261	79691_28592_188800	0.307692
202235_24610_238120	28583_175568_84261	0.250000
175567_173845_188800	28583_175568_84261	0.454545
193134_240704_228768	28587_142369_92161	0.250000
28587_142369_92204	84202_144349_92204	0.351351
144349_84202_193892	28587_142369_92204	0.294118
142369_92204_144349	28587_142369_92204	0.608696
142369_28587_143850	28587_142369_92204	0.347826
28587_143850_131804	76157_172592_80982	0.250000
142369_92204_144349	28587_143850_131804	0.266667
142369_28587_143850	28587_143850_131804	0.625000
144349_92204_175512	28587_175512_92204	1.000000
28587_175512_92204	84202_144349_92204	0.296296
133348_28587_175512	28587_175512_92204	0.625000
28592_188800_173845	28592_79691_38259	0.466667
158773_28583_175568	28592_79691_38259	0.285714
158773_175567_173845	28592_79691_38259	0.384615
101762_59018_111940	28592_79691_38259	0.300000
28592_79691_38259	79691_28592_188800	0.777778
202235_24610_238120	28592_79691_38259	0.750000
175567_173845_188800	28592_79691_38259	0.500000
100126_72724_181993	28592_188800_173845	0.266667
28592_188800_173845	72724_100126_131813	0.266667
28592_188800_173845	72724_181993_175569	0.312500
158773_28583_175568	28592_188800_173845	0.650000
28592_188800_173845	59018_101762_175569	0.500000
101762_175569_181993	28592_188800_173845	0.476190
131813_175570_211879	28592_188800_173845	0.312500
158773_175567_173845	28592_188800_173845	0.411765
175569_181993_202237	28592_188800_173845	0.263158
28592_188800_173845	72724_202237_181993	0.250000
28592_188800_173845	79691_28592_188800	0.571429
202235_24610_238120	28592_188800_173845	0.428571
175567_173845_188800	28592_188800_173845	0.500000
28704_50307_60804	50308_74223_128744	0.285714
28704_50307_60804	59308_59307_193402	0.272727
133234_213086_193402	28704_50307_60804	0.400000
28704_50307_60804	59307_193402_213086	0.363636
28704_133234_213086	28704_50307_60804	0.400000
28704_50307_60804	50307_60804_50308	0.833333
28704_240122_60804	28704_60073_193402	0.344828
28704_60073_193402	60073_193402_212848	0.285714
28704_60073_193402	60073_28704_240122	0.857143
28704_60073_193402	50308_128744_76581	0.263158
28704_60073_193402	60073_193402_201451	0.615385
28704_60073_193402	60804_50308_128744	0.368421
28704_80583_122153	80583_28704_240122	0.384615
128744_74223_219426	28704_80583_122153	0.250000
176368_22031_228452	28704_80583_122153	0.250000
28704_80583_193402	80583_28704_240122	0.461538
28704_80583_193402	80583_193402_201451	0.625000
28704_80583_193402	38949_128744_74223	0.285714
28704_80583_193402	60804_50308_176369	0.300000
28704_80583_193402	50308_176369_68597	0.250000
176369_68597_184892	28704_80583_193402	0.250000
28704_80583_193402	59308_201451_193402	0.444444
28704_133234_213086	50308_74223_128744	0.250000
28704_133234_213086	59308_59307_193402	0.600000
133234_213086_193402	28704_133234_213086	0.777778
28704_133234_213086	59307_59308_107392	0.666667
28704_133234_213086	59307_193402_213086	0.700000
28704_133234_213086	50307_60804_50308	0.444444
28704_240122_60804	80583_28704_240122	0.444444
28704_240122_60804	50308_60804_240122	0.718750
28704_240122_60804	60073_28704_240122	0.392857
134299_37537_240726	28783_37538_149108	0.400000
28783_37538_149108	37537_240726_104803	0.307692
134331_240726_135275	28783_135275_240726	0.272727
28783_207426_134299	32497_2981_74905	0.500000
28783_207426_134299	75727_42062_207465	0.300000
134299_37537_240726	28783_207426_134299	0.428571
28783_207426_134299	37537_240726_104803	0.600000
104803_114_185507	28783_207426_134299	0.571429
28783_207426_134299	37537_134299_207426	1.000000
115091_50246_188254	28838_122939_144617	0.250000
28838_122939_144617	42156_32634_243824	0.294118
28838_122939_144617	32634_243824_68071	0.312500
28838_122939_144617	32634_42156_193134	0.277778
28838_122939_144617	28838_204770_68071	0.666667
100126_176731_107646	28838_122939_144617	0.428571
204770_68071_243824	28838_204770_68071	0.312500
28838_204770_68071	42156_32634_243824	0.294118
28838_204770_68071	32634_243824_68071	0.312500
28838_204770_68071	32634_42156_193134	0.277778
100126_176731_107646	28838_204770_68071	0.250000
28860_101928_223701	47224_29395_144884	1.000000
144616_28875_234350	28875_144616_210695	0.318182
28987_89786_144165	89786_144165_193010	0.571429
31016_134649_127498	53796_68428_59717	0.428571
31016_134649_127498	68428_59717_142659	0.428571
112265_32703_144311	31016_134649_127498	0.375000
31016_134649_127498	32703_112265_177924	0.428571
112265_177924_175803	31016_134649_127498	0.428571
194974_31619_214548	31619_214548_64467	0.357143
32018_195173_107276	84087_202068_134399	0.428571
32018_195173_107276	84087_94262_243639	0.428571
32018_195173_107276	94262_84087_202068	0.428571
143202_107276_210578	32018_210578_107276	0.307692
156327_32018_210578	32018_210578_107276	0.500000
211220_202209_211654	32028_211220_202209	0.400000
202068_32028_211220	32028_211220_202209	0.625000
216279_20291_234688	32172_53582_53582	0.400000
32172_53582_53582	53582_53582_68915	0.818182
32176_240258_240259	59018_682_59234	1.000000
32176_240258_240259	59234_53991_59235	0.666667
32176_240258_240259	53991_59235_59236	0.666667
32197_134637_176492	32198_32197_134637	1.000000
134107_104924_145952	32197_134637_176492	0.428571
134107_104924_145952	32198_32197_134637	0.428571
32243_37642_202552	37642_32243_240572	1.000000
32243_37642_202552	97036_187325_240572	1.000000
32243_240572_187325	32243_37642_202552	1.000000
32243_37642_202552	34341_97036_187325	0.375000
32243_240572_187325	37642_32243_240572	1.000000
32243_240572_187325	97036_187325_240572	1.000000
32243_240572_187325	34341_97036_187325	0.375000
32339_114_243522	68126_55179_243522	0.600000
32339_114_243522	68126_123491_236162	0.333333
32339_114_243522	55179_68126_123491	0.444444
172588_396_236157	32339_114_243522	0.400000
202626_102852_234396	32339_76367_176138	0.266667
32339_76367_176138	76367_176138_150780	0.277778
142446_150780_176138	32339_76367_176138	0.263158
142446_185716_243405	32339_76367_176138	0.333333
32339_76367_176138	84003_73033_229451	0.375000
149240_149642_153579	32339_76367_176138	0.375000
32339_76367_176138	76367_32339_149751	0.714286
159287_144203_234857	32352_159287_144203	0.636364
32352_159287_144203	68071_51876_223210	0.666667
32352_159287_144203	51876_223210_122939	0.666667
32352_159287_144203	68071_64083_93518	0.461538
32352_159287_144203	64083_93518_156493	0.500000
32352_159287_144203	51876_68071_64083	0.666667
159287_32352_175625	32352_159287_144203	0.857143
238727_202068_244740	32359_75157_55098	0.277778
32359_212647_201098	32359_75157_55098	0.307692
32359_75157_55098	75157_32359_212647	0.307692
32359_75157_55098	51415_24168_84179	0.294118
32359_75157_55098	32482_122190_51415	0.294118
32359_212647_201098	75157_32359_212647	1.000000
32403_216487_149108	93383_32601_190390	0.384615
32403_216487_149108	32601_93383_172588	0.461538
32482_28498_101566	75216_210806_80185	0.289855
32482_122190_156320	32482_28498_101566	0.307692
201096_80185_210806	32482_122190_51415	0.333333
32482_122190_51415	51415_24168_84179	0.666667
32482_122190_156320	75216_210806_80185	0.263158
32482_122190_156320	84179_223738_156320	0.333333
122190_156320_223738	32482_122190_156320	0.434783
32482_122190_156320	84179_156320_122190	0.260870
32482_122190_223738	84179_223738_122190	0.555556
32484_111943_38644	80982_32484_111943	0.750000
32497_2981_74905	75727_42062_207465	0.583333
134299_37537_240726	32497_2981_74905	0.529412
32497_2981_74905	37537_240726_104803	0.692308
104803_114_185507	32497_2981_74905	0.416667
32497_2981_74905	37537_134299_207426	0.500000
32578_59749_55502	59749_32578_219882	1.000000
32594_193215_153014	98850_196832_207323	0.333333
193214_32594_193215	32594_193215_153014	0.777778
216487_133948_219487	32594_193215_153014	0.416667
196832_98850_234735	32594_193215_153014	0.333333
113647_219488_207323	32594_193215_153014	0.416667
133948_219487_212522	32594_193215_153014	0.416667
32594_193215_153014	51913_236287_219738	0.307692
113647_216487_133948	32594_193215_153014	0.416667
153017_51913_236287	32594_193215_153014	0.307692
196832_207323_219488	32594_193215_153014	0.416667
216487_113647_219488	32594_193215_153014	0.416667
201024_212522_219487	32594_193215_153014	0.461538
32594_193215_153014	51913_153017_234735	0.285714
32594_193215_153014	98850_234735_153017	0.285714
193215_153014_202297	32594_193215_153014	0.875000
153014_202297_201425	32594_193215_153014	0.875000
32597_200935_55574	92161_175512_213073	0.266667
175512_213073_212630	32597_200935_55574	0.250000
167968_84220_236162	32597_200935_55574	0.272727
200935_32597_236162	32597_200935_55574	0.625000
32597_204813_55574	55574_144349_92161	0.384615
204813_32597_236162	32597_204813_55574	1.000000
32597_204813_55574	92161_175512_213070	0.555556
144349_55574_204813	32597_204813_55574	1.000000
175512_213070_212630	32597_204813_55574	0.555556
213070_212630_213074	32597_204813_55574	0.625000
32601_93383_172588	93383_32601_190390	0.900000
159763_32601_190390	32601_159763_172588	0.736842
32601_190390_76157	76157_172592_80982	0.500000
172592_76157_190390	32601_190390_76157	0.875000
32601_190390_172592	53302_172592_190390	0.416667
32601_190390_172592	80982_172592_190390	0.296296
190390_234396_240436	32601_190390_234396	0.642857
32619_151501_74060	74057_50378_80475	0.250000
32619_151501_74060	68915_192137_188076	0.250000
192137_188076_211453	32619_151501_74060	0.250000
32619_151501_74060	74057_74058_156585	0.250000
204770_68071_243824	32634_42156_193134	0.307692
32634_42156_193134	53610_17365_144617	0.666667
32634_42156_193134	42156_32634_243824	0.944444
32634_243824_68071	32634_42156_193134	0.888889
32634_42156_193134	53610_238346_156269	0.473684
32634_42156_193134	42156_193134_133886	0.333333
204770_68071_243824	32634_243824_68071	0.333333
32634_243824_68071	53610_17365_144617	0.583333
32634_243824_68071	42156_32634_243824	0.941176
32634_243824_68071	53610_238346_156269	0.444444
32634_243824_68071	42156_193134_133886	0.375000
32635_68071_151332	42156_93518_151332	0.250000
32635_122939_144617	68071_32635_122939	0.500000
122939_32635_243605	32635_122939_144617	0.250000
32635_122939_181092	42156_42250_243824	0.318182
115091_134715_185588	32635_122939_181092	0.357143
32635_122939_181092	68071_32635_122939	0.260870
32635_122939_181092	84872_17365_181092	0.333333
32635_122939_181092	42250_42156_210425	0.461538
176174_244677_188294	32668_37955_238601	0.363636
101076_176174_244677	32668_37955_238601	0.363636
32668_37955_238601	37955_238601_201046	0.769231
201046_188294_244677	32668_37955_238601	0.600000
188294_201046_238601	32668_37955_238601	0.642857
176174_101076_238602	32668_37955_238601	0.363636
238602_101076_244677	32668_37955_238601	0.454545
101076_244677_188294	32668_37955_238601	0.454545
32668_37955_238601	37955_32668_188293	0.600000
32668_37955_238601	74816_238602_101076	0.333333
176333_74816_238602	32668_37955_238601	0.333333
32703_112265_177924	53796_68428_59717	0.666667
32703_112265_177924	68428_59717_142659	0.666667
112265_32703_144311	32703_112265_177924	0.571429
112265_177924_175803	32703_112265_177924	1.000000
32703_210601_144063	84444_144063_210601	0.818182
212101_102989_212308	32703_210601_144063	0.454545
144063_84444_212101	32703_210601_144063	0.600000
32703_210601_144063	84444_212101_102989	0.454545
102989_212308_102990	32703_210601_144063	0.363636
210601_32703_212309	32703_210601_144063	0.666667
204949_13155_212309	32703_210601_144063	0.555556
32703_210601_144063	74308_107091_102990	0.272727
107091_102990_212308	32703_210601_144063	0.272727
32728_50736_101109	50736_101109_74881	0.714286
32728_50736_101109	50746_74881_101109	0.600000
32728_50736_101109	50736_32728_50742	0.545455
32728_50736_101109	80993_240857_240858	0.285714
32788_75854_74843	75854_74843_228345	0.384615
32788_75854_74843	92238_202356_151389	0.333333
32788_75854_74843	74843_228345_92238	0.363636
32788_123936_244613	32788_75854_74843	0.300000
32788_75854_74843	75854_32788_123936	0.750000
202356_92238_228345	32788_75854_74843	0.333333
32788_123936_244613	74843_228345_92238	0.272727
32788_123936_244613	75854_32788_123936	0.444444
142525_172592_216877	32817_104489_112211	0.250000
32817_104489_112211	50600_47440_229073	0.416667
32817_104489_112211	47440_50600_112211	0.416667
32817_104489_112211	50600_112211_104489	0.461538
175843_234477_190567	32817_104489_112211	0.272727
32817_104489_112211	50595_190567_234477	0.333333
202714_32833_207497	32833_202714_219678	0.933333
32833_202714_219678	32833_207497_207496	0.866667
202714_32833_207497	32833_207497_207496	0.933333
228828_153359_240583	32849_236162_149089	0.538462
236162_149089_240583	32849_236162_149089	0.500000
32849_236162_149089	41777_143303_60746	0.250000
149089_240583_153359	32849_236162_149089	0.500000
195078_201465_234451	32849_236162_149089	0.296296
172592_159846_173673	32849_236162_149089	0.300000
201465_195078_211449	32849_236162_149089	0.500000
32849_236162_149089	60443_211449_195078	0.300000
149396_60443_211449	32849_236162_149089	0.300000
187992_187991_219222	32879_238067_238068	0.714286
134074_170518_193007	32943_193007_170518	0.913043
32943_193007_170518	50380_134074_170518	0.840000
32943_193007_170518	32943_228322_59567	0.304348
193007_32943_228322	32943_193007_170518	0.772727
32943_193007_170518	37107_50380_134074	0.576923
134074_170518_193007	32943_228322_59567	0.333333
32943_228322_59567	50380_134074_170518	0.307692
159519_59567_228322	32943_228322_59567	0.555556
193007_32943_228322	32943_228322_59567	0.421053
32943_228322_59567	37107_50380_134074	0.260870
100236_187300_176106	32948_213061_142300	0.714286
187300_176106_187302	32948_213061_142300	0.714286
159312_22760_201909	33176_101621_101622	0.363636
101329_201915_144346	33176_101621_101622	0.777778
185117_201913_201914	33176_101621_101622	0.666667
144346_201914_201913	33176_101621_101622	1.000000
201914_144346_201915	33176_101621_101622	0.900000
185118_201916_243273	33176_101621_101622	0.272727
101621_101622_185117	33176_101621_101622	0.666667
185118_101329_201915	33176_101621_101622	0.555556
101622_185117_201913	33176_101621_101622	0.666667
228647_68345_228648	33176_101621_101622	0.384615
33176_101621_101622	59775_33176_101621	0.555556
159312_22759_238900	33176_101621_101622	0.363636
33176_101621_101622	68345_228648_201921	0.416667
201918_228652_243273	33176_101621_101622	0.272727
33176_101621_101622	59914_201921_228648	0.250000
201921_59914_240264	33176_101621_101622	0.272727
201916_243273_228652	33176_101621_101622	0.272727
228652_201918_240261	33176_101621_101622	0.272727
33176_101621_101622	68345_228647_243274	0.250000
34081_38656_53307	38656_53307_201980	0.666667
34081_84459_144084	60343_219769_238090	0.250000
34081_84459_144084	50625_92776_223885	0.272727
34108_234654_173642	80481_34108_234654	1.000000
193436_173639_202174	34108_234654_173642	0.300000
34341_97036_187325	37642_32243_240572	0.375000
34341_97036_187325	97036_187325_240572	0.375000
156323_37019_167968	37019_156323_210221	0.777778
156323_210221_238571	37019_156323_210221	0.250000
37019_156323_210221	37019_167968_37462	0.400000
156323_37019_167968	37019_167968_37462	0.454545
156323_210221_238571	37019_167968_37462	0.250000
101447_238068_143149	37028_22077_75743	0.555556
101448_101447_238068	37028_22077_75743	0.625000
37028_22077_75743	73098_151737_143177	0.272727
143149_2953_159888	37028_22077_75743	0.500000
151737_143177_159888	37028_22077_75743	0.500000
37028_22077_75743	75743_101448_101447	0.625000
151537_59400_195724	37028_22077_75743	0.300000
37074_25589_244559	51514_223182_165962	0.368421
37074_25589_244559	51514_212335_55613	0.428571
134637_55613_212335	37074_25589_244559	0.428571
37074_25589_244559	55613_134637_244559	0.428571
134074_170518_193007	37107_50380_134074	0.653846
37107_50380_134074	50380_134074_170518	0.730769
193007_32943_228322	37107_50380_134074	0.520000
221183_51711_240620	37107_50380_134074	0.363636
37107_50380_134074	50380_37107_123806	0.250000
244556_115024_244783	37173_244577_80818	0.357143
143026_37173_244577	37173_244577_80818	0.500000
193134_149422_212520	37246_210186_212520	0.363636
37368_42156_193134	42156_193134_243533	0.265625
37368_42156_193134	42156_37368_243824	0.740000
122939_195007_243606	37368_42156_193134	0.250000
37368_243824_201242	50588_167932_193134	0.250000
204770_201242_243824	37368_243824_201242	0.363636
37368_243824_201242	42156_193134_84623	0.250000
112197_50186_134779	37370_193378_104612	0.272727
37370_193378_104612	50186_134779_244174	0.333333
37370_193378_104612	92172_184702_156667	0.272727
37370_193378_104612	66826_133619_134835	0.333333
199322_93138_212462	37389_74960_74669	0.363636
37389_74960_74669	74669_212462_93138	0.416667
37389_74960_74669	74960_37389_238801	0.666667
37389_74960_74669	74960_74669_212462	0.625000
37389_238801_238802	37389_74960_74669	0.500000
37389_238801_238802	74669_212462_93138	0.384615
37389_238801_238802	74960_37389_238801	0.777778
37389_238801_238802	74960_74669_212462	0.400000
101451_93138_212462	37389_238801_238802	0.300000
37537_134299_207426	75727_42062_207465	0.300000
134299_37537_240726	37537_134299_207426	0.428571
37537_134299_207426	37537_240726_104803	0.600000
104803_114_185507	37537_134299_207426	0.571429
37537_240726_104803	75727_42062_207465	0.307692
134299_37537_240726	37537_240726_104803	0.714286
104803_114_185507	37537_240726_104803	0.500000
37546_74759_156875	74759_156875_84933	0.680000
37546_74759_156875	56505_84933_156875	0.555556
37546_74759_156875	74759_37546_100034	0.631579
37546_74759_156875	84933_56505_142588	0.250000
37642_32243_240572	97036_187325_240572	1.000000
127693_64303_142639	37643_851_150396	0.400000
37643_851_150396	64303_142639_93109	0.375000
134164_112244_149029	37654_134164_112244	0.375000
37656_53728_68393	76749_149029_112244	0.363636
37656_53728_68393	53728_37656_194968	0.300000
37656_194968_212695	37656_53728_68393	0.300000
37656_53728_68393	56856_143461_112238	0.454545
143461_56856_149510	37656_53728_68393	0.400000
212690_64097_229009	37656_194968_212695	0.250000
37656_194968_212695	76749_149029_112244	0.454545
37656_194968_212695	53728_37656_194968	1.000000
37656_194968_212695	68384_212691_195299	0.307692
112743_134181_151500	37656_194968_212695	0.333333
134181_151500_229009	37656_194968_212695	0.363636
37656_194968_212695	64097_229009_151500	0.363636
151501_68384_212691	37656_194968_212695	0.300000
37656_194968_212695	56856_143461_112238	0.307692
143461_56856_149510	37656_194968_212695	0.250000
37656_194968_212695	56856_149510_72793	0.272727
151700_101439_243013	37716_243013_101439	0.714286
101439_151700_200959	37716_243013_101439	0.714286
37716_243013_101439	47180_59828_212517	0.250000
149172_151700_200959	37716_243013_149172	0.428571
151700_149172_243013	37716_243013_149172	0.375000
37791_64353_56869	68915_24310_143442	0.666667
37791_64353_56869	68915_192137_188076	0.375000
37791_64353_56869	68062_240089_68063	0.375000
188076_211453_192136	37791_64353_56869	0.555556
192136_66158_244359	37791_64353_56869	0.555556
211452_68062_240089	37791_64353_56869	0.444444
192137_188076_211453	37791_64353_56869	0.375000
37791_64353_56869	66158_192136_211453	0.666667
